name,division,region
ALABAMA,East South Central,South
ALASKA,Pacific,West
ARIZONA,Mountain,West
ARKANSAS,West South Central,South
CALIFORNIA,Pacific,West
COLORADO,Mountain,West
CONNECTICUT,New England,Northeast
DELAWARE,South Atlantic,South
FLORIDA,South Atlantic,South
GEORGIA,South Atlantic,South
HAWAII,Pacific,West
IDAHO,Mountain,West
ILLINOIS,East North Central,North Central
INDIANA,East North Central,North Central
IOWA,West North Central,North Central
KANSAS,West North Central,North Central
KENTUCKY,East South Central,South
LOUISIANA,West South Central,South
MAINE,New England,Northeast
MARYLAND,South Atlantic,South
MASSACHUSETTS,New England,Northeast
MICHIGAN,East North Central,North Central
MINNESOTA,West North Central,North Central
MISSISSIPPI,East South Central,South
MISSOURI,West North Central,North Central
MONTANA,Mountain,West
NEBRASKA,West North Central,North Central
NEVADA,Mountain,West
NEW HAMPSHIRE,New England,Northeast
NEW JERSEY,Middle Atlantic,Northeast
NEW MEXICO,Mountain,West
NEW YORK,Middle Atlantic,Northeast
NORTH CAROLINA,South Atlantic,South
NORTH DAKOTA,West North Central,North Central
OHIO,East North Central,North Central
OKLAHOMA,West South Central,South
OREGON,Pacific,West
PENNSYLVANIA,Middle Atlantic,Northeast
RHODE ISLAND,New England,Northeast
SOUTH CAROLINA,South Atlantic,South
SOUTH DAKOTA,West North Central,North Central
TENNESSEE,East South Central,South
TEXAS,West South Central,South
UTAH,Mountain,West
VERMONT,New England,Northeast
VIRGINIA,South Atlantic,South
WASHINGTON,Pacific,West
WEST VIRGINIA,South Atlantic,South
WISCONSIN,East North Central,North Central
WYOMING,Mountain,West
